"code","deaths_increase","pollution","density","GDP","doctors","population_aged_60","cases","NACE_B_E","day"
"AT11",8.34031533247011,13.38347308712,77.8,89,434.45,29.92602806722,321.563942081403,14.3695014662757,79
"AT12",9.73321606566988,12.5241640267194,88.9,104,471.11,26.932286480867,322.296610648708,16.6585186995845,77
"AT13",11.6904640489546,14.4,4808.9,149,686.75,21.8816957593459,377.4191,7.66717236550356,77
"AT21",15.073544818338,11.1170762658245,59.9,108,485.1,29.4758708909607,382.349322263096,17.7001569858713,79
"AT22",17.1600249191134,12.8934432933699,76.6,115,521.32,27.3054689725167,341.039554145524,19.4947648329732,76
"AT31",13.3705263956886,12.6161653737599,126.8,130,426.53,25.1676363956011,486.492800358342,24.9398234822145,74
"AT32",15.8726625111309,9.83656572534469,78.9,151,581.16,25.2767679661897,511.290996714547,14.7163120567376,76
"AT33",15.2591211492012,8.69510140681603,60.4,136,588.76,24.2957681413453,533.634971450701,15.8046731425571,72
"AT34",14.7076296359161,9.09893351030992,156.3,137,432.63,23.483465486895,488.116264728017,26.9817823732152,74
"BE10",24.1614299678816,13.3,7526.7,202,390.38,17.6155257143418,649.35699,6.07158074137196,75
"BE21",14.9158681935031,14.4408467079929,665.8,140,271.16,25.8754094159666,390.460709501606,15.3475142221123,76
"BE22",17.6439461586798,11.4942044283769,367.5,96,256.65,27.7202413803285,285.986181388936,16.8999207816213,73
"BE23",15.6824647838457,13.482155019443,512.3,108,292.63,26.2131457478156,393.760580319453,17.7105524783411,76
"BE24",13.9584546689963,12.2554365476666,544.7,128,409.53,25.7743823877835,379.33539275657,9.1678142829038,72
"BE25",17.1080831317957,13.0907062142852,380.8,115,262.07,30.3985854392058,407.792393154243,17.7622904501789,75
"BE31",16.9435215946844,11.3,369.7,147,525.24,25.6124721603563,571.61609,11.7437722419929,75
"BE32",20.2713393593563,12.026876509348,354.8,74,253.3,25.2891405211454,720.568468487679,12.7291886195996,74
"BE33",23.7533512064343,10.0532286836178,289.7,84,358.81,25.3341508497293,823.076237113596,14.9317004239284,73
"BE34",13.1324301907658,8.81757133270325,64.6,73,231.48,23.1293550547986,548.331167000304,11.2459546925566,77
"BE35",17.3173370046219,10.1473076759618,135.9,79,351.89,25.1839586090627,657.845985447618,9.32929904185577,78
"CZ01",13.7558974358974,17,2714.3,205,736.22,24.188594984282,605.7041,9.60711213077144,77
"CZ02",17.5101539624067,15.8,128.5,83,265.17,24.1562411335741,675.82288,25.4266705235754,81
"CZ03",17.2564743254499,13.4752947032678,71.8,78,377.68,26.8027410448451,648.445436126921,34.4164456233422,86
"CZ04",20.4273589615577,15.0587863085198,131.7,64,325.1,26.0686124150591,576.329566442482,34.3394077448747,85
"CZ05",17.8542631737048,16.851123513202,123.7,76,350.83,26.9215592368638,731.910898720302,35.7984113941386,87
"CZ06",19.1762933199397,16.0365811807812,124,83,430.81,26.3912017966837,634.257088591993,30.5953096812989,87
"CZ07",23.0728325894977,19.2603125105226,133.2,75,380.58,27.2403402027055,776.266515195872,37.3804139850409,81
"CZ08",20.9200519384159,24.1,226.2,74,375.9,26.4928502947426,724.49957,33.6569008118602,82
"DE1",7.81016887098989,10.9261842770012,313.5,137,415.36,26.8856042407143,218.149914381354,29.1863579751932,74
"DE2",9.81138403160744,11.6132304999145,187.4,141,455.82,27.0823179161609,251.145603272516,25.4506407044169,75
"DE3",10.4392947612277,15.2,4322.9,123,551.47,24.7906862286895,267.21689,8.42364532019704,77
"DE4",11.2283274593751,13.5802767364374,86.7,86,375.98,32.9773705704405,178.810125123885,14.6638171954628,79
